id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
2050,DAAG,large_airport,"Houari Boumediene Airport",36.693886,3.214531,82,AF,Algeria,DZ,"Algiers Province",DZ-16,16,Algiers,1,DAAG,ALG,,,https://en.wikipedia.org/wiki/Houari_Boumediene_Airport,"Algiers, Maison Blanche",1275,2022-09-13T13:52:37+00:00
2071,DAOO,medium_airport,"Oran Es-Sénia (Ahmed Ben Bella) International Airport",35.623901,-0.621183,295,AF,Algeria,DZ,"Oran Province",DZ-31,31,Es-Sénia,1,DAOO,ORN,,,https://en.wikipedia.org/wiki/Oran_Es_Senia_Airport,"Es Senia",750,2022-09-13T14:01:35+00:00
2060,DABB,medium_airport,"Annaba Rabah Bitat Airport",36.826781,7.81334,16,AF,Algeria,DZ,"Annaba Province",DZ-23,23,Annaba,1,DABB,AAE,,,https://en.wikipedia.org/wiki/Rabah_Bitat_Airport,"Les Salines Airport, El Mellah Airport, Annabah",750,2022-09-13T13:43:09+00:00
2061,DABC,medium_airport,"Mohamed Boudiaf International Airport",36.2760009765625,6.620389938354492,2265,AF,Algeria,DZ,"Constantine Province",DZ-25,25,Constantine,1,DABC,CZL,,,https://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport,,750,2008-06-13T14:30:04+00:00
2056,DAAT,medium_airport,"Aguenar – Hadj Bey Akhamok Airport",22.811501,5.45108,4518,AF,Algeria,DZ,"Tamanghasset Province",DZ-11,11,Tamanrasset,1,DAAT,TMR,,,https://en.wikipedia.org/wiki/Tamanrasset_Airport,,750,2023-01-26T08:36:23+00:00
2067,DAOF,medium_airport,"Tindouf Airport",27.7003993988,-8.167099952700001,1453,AF,Algeria,DZ,"Tindouf Province",DZ-37,37,Tindouf,1,DAOF,TIN,,,https://en.wikipedia.org/wiki/Tindouf_Airport,,750,2010-08-30T11:55:47+00:00
2051,DAAJ,medium_airport,"Djanet Inedbirene Airport",24.292801,9.45244,3176,AF,Algeria,DZ,"Djanet Province",DZ-56,56,Djanet,1,DAAJ,DJG,,,https://en.wikipedia.org/wiki/Djanet_Inedbirene_Airport,"Tiska Djanet Airport",750,2022-09-27T14:24:09+00:00
2078,DAUG,medium_airport,"Noumérat - Moufdi Zakaria Airport",32.384102,3.79411,1512,AF,Algeria,DZ,"Ghardaïa Province",DZ-47,47,"El Atteuf",1,DAUG,GHA,,,https://en.wikipedia.org/wiki/Noumerate_Airport,Ghardaïa,750,2022-09-26T03:28:05+00:00
2077,DAUE,medium_airport,"El Golea Airport",30.580732,2.861595,1306,AF,Algeria,DZ,"El Menia Province",DZ-50,50,"El Menia",1,DAUE,ELG,,,https://en.wikipedia.org/wiki/El_Golea_Airport,,750,2022-09-27T14:43:54+00:00
2079,DAUH,medium_airport,"Hassi Messaoud-Oued Irara Krim Belkacem Airport",31.673,6.14044,463,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,"Hassi Messaoud",1,DAUH,HME,,,https://en.wikipedia.org/wiki/Oued_Irara_Airport,,750,2021-02-23T14:55:24+00:00
2080,DAUI,medium_airport,"In Salah Airport",27.250999,2.51202,896,AF,Algeria,DZ,"In Salah Province",DZ-57,57,"In Salah",1,DAUI,INZ,,,https://en.wikipedia.org/wiki/In_Salah_Airport,,750,2022-09-27T14:28:27+00:00
2075,DAUA,medium_airport,"Touat Cheikh Sidi Mohamed Belkebir Airport",27.837601,-0.186414,919,AF,Algeria,DZ,"Adrar Province",DZ-01,01,Adrar,1,DAUA,AZR,,,https://en.wikipedia.org/wiki/Touat_Cheikh_Sidi_Mohamed_Belkebir_Airport,,750,2021-02-23T14:09:06+00:00
2076,DAUB,medium_airport,"Biskra - Mohamed Khider Airport",34.793301,5.73823,289,AF,Algeria,DZ,"Biskra Province",DZ-07,07,Biskra,1,DAUB,BSK,,,https://en.wikipedia.org/wiki/Biskra_Airport,,750,2021-02-23T14:30:22+00:00
2085,DAUU,medium_airport,"Ain Beida Airport",31.9172,5.41278,492,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,Ouargla,1,DAUU,OGX,,,https://en.wikipedia.org/wiki/Ain_Beida_Airport,"Ain el Beida, Sedrata Airfield",750,2021-03-08T17:20:16+00:00
2084,DAUT,medium_airport,"Timimoun Airport",29.237101,0.276033,1027,AF,Algeria,DZ,"Timimoun Province",DZ-54,54,Timimoun,1,DAUT,TMX,,,https://en.wikipedia.org/wiki/Timimoun_Airport,,750,2022-09-27T14:36:08+00:00
2082,DAUL,medium_airport,"Laghouat - Molay Ahmed Medeghri Airport",33.7644,2.92834,2510,AF,Algeria,DZ,"Laghouat Province",DZ-03,03,Laghouat,0,DAUL,LOO,,,https://en.wikipedia.org/wiki/L%27Mekrareg_Airport,,250,2024-01-18T18:17:30+00:00
2072,DAOR,medium_airport,"Béchar Boudghene Ben Ali Lotfi Airport",31.645700454711914,-2.269860029220581,2661,AF,Algeria,DZ,"Béchar Province",DZ-08,08,Béchar,1,DAOR,CBH,,,https://en.wikipedia.org/wiki/B%C3%A9char_Ouakda_Airport,"Béchar Ouakda Airport",750,2008-06-13T14:30:04+00:00
2049,DAAE,medium_airport,"Soummam–Abane Ramdane Airport",36.711952,5.069804,20,AF,Algeria,DZ,"Béjaïa Province",DZ-06,06,Béjaïa,1,DAAE,BJA,BJ1,,https://en.wikipedia.org/wiki/Abane_Ramdane_Airport,"Béjaïa, Soummam",750,2022-09-13T13:51:33+00:00
