,Australia,Brunei,Canadá,Chile,China,Hong Kong,Indonesia,Japón,Malasia,México,Nueva Zelanda,Papúa Nueva Guinea,Perú,Filipinas,Rusia,Singapur,Corea del Sur,Taipéi Chino,Tailandia,EE. UU.,Vietnam,TLC
Australia,1,15,30,12,40,20,25,35,18,20,32,10,15,22,28,20,30,12,25,50,18,1
Brunei,15,1,10,8,25,12,18,20,12,10,8,5,10,15,12,18,22,7,20,25,10,0
Canadá,30,10,1,22,38,15,22,35,25,20,28,12,18,30,28,22,35,18,28,40,20,1
Chile,12,8,22,1,28,10,15,20,12,18,22,10,15,20,12,15,20,8,22,25,15,1
China,40,25,38,28,1,22,32,40,30,28,35,18,25,32,35,30,40,25,35,50,32,1
Hong Kong,20,12,15,10,22,1,20,22,15,12,18,10,12,18,20,15,22,12,18,30,15,0
Indonesia,25,18,22,15,32,20,1,30,25,22,28,12,18,25,30,28,35,22,30,40,25,1
Japón,35,20,35,20,40,22,30,1,28,25,35,15,20,30,35,32,40,30,35,50,30,1
Malasia,18,12,25,12,30,15,25,28,1,18,22,12,15,22,28,22,30,18,25,32,20,1
México,20,10,20,18,28,12,22,25,18,1,25,10,18,25,22,20,28,15,22,40,22,1
Nueva Zelanda,32,8,28,22,35,18,28,35,22,25,1,15,18,28,30,28,35,22,30,45,25,1
Papúa Nueva Guinea,10,5,12,10,18,10,12,15,12,10,15,1,10,12,10,12,15,8,12,18,10,0
Perú,15,10,18,15,25,12,18,20,15,18,18,10,1,18,22,15,25,15,20,32,18,1
Filipinas,22,15,30,20,32,18,25,30,22,25,28,12,18,1,28,25,30,22,28,40,25,0
Rusia,28,12,28,12,35,20,30,35,28,22,30,10,22,28,1,28,35,25,30,50,30,0
Singapur,20,18,22,15,30,15,28,32,22,20,28,12,15,25,28,1,32,22,30,40,28,1
Corea del Sur,30,22,35,20,40,22,35,40,30,28,35,15,25,30,35,32,1,28,35,50,30,1
Taipéi Chino,12,7,18,8,25,12,22,30,18,15,22,8,15,22,25,22,28,1,28,35,18,0
Tailandia,25,20,28,22,35,18,30,35,25,22,30,12,20,28,30,30,35,28,1,45,28,1
EE. UU.,50,25,40,25,50,30,40,50,32,40,45,18,32,40,50,40,50,35,45,1,35,1
Vietnam,18,10,20,15,32,15,25,30,20,22,25,10,18,25,30,28,30,18,28,35,1,1
